FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1505,DEN,"Denver, CO",ORD,"Chicago, IL",1755,1746.0,-9.0,21.0,1807.0,2055.0,9.0,2113,2104.0,-9.0,1.0,C,0.0,138.0,138.0,108.0,888.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1500,MCO,"Orlando, FL",ORD,"Chicago, IL",1445,1440.0,-5.0,14.0,1454.0,1628.0,5.0,1645,1633.0,-12.0,0.0,,0.0,180.0,173.0,154.0,1005.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1499,IAH,"Houston, TX",PHX,"Phoenix, AZ",2015,2004.0,-11.0,16.0,2020.0,2138.0,8.0,2206,2146.0,-20.0,0.0,,0.0,171.0,162.0,138.0,1009.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1497,LAS,"Las Vegas, NV",SFO,"San Francisco, CA",1330,1318.0,-12.0,13.0,1331.0,1458.0,9.0,1514,1507.0,-7.0,1.0,A,0.0,104.0,109.0,87.0,414.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1494,SFO,"San Francisco, CA",EWR,"Newark, NJ",2235,2236.0,1.0,21.0,2257.0,623.0,6.0,636,629.0,-7.0,0.0,,0.0,301.0,293.0,266.0,2565.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1492,SNA,"Santa Ana, CA",IAH,"Houston, TX",1310,1257.0,-13.0,13.0,1310.0,1752.0,6.0,1814,1758.0,-16.0,0.0,,0.0,184.0,181.0,162.0,1346.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1491,PDX,"Portland, OR",SFO,"San Francisco, CA",758,748.0,-10.0,10.0,758.0,941.0,7.0,947,948.0,1.0,1.0,A,0.0,109.0,120.0,103.0,550.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1488,LAX,"Los Angeles, CA",ORD,"Chicago, IL",1705,1649.0,-16.0,15.0,1704.0,2228.0,3.0,2306,2231.0,-35.0,0.0,,0.0,241.0,222.0,204.0,1744.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1486,DEN,"Denver, CO",JAC,"Jackson, WY",1935,1920.0,-15.0,10.0,1930.0,2036.0,2.0,2055,2038.0,-17.0,0.0,,0.0,80.0,78.0,66.0,406.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1485,DEN,"Denver, CO",EUG,"Eugene, OR",2000,1948.0,-12.0,16.0,2004.0,2135.0,4.0,2142,2139.0,-3.0,1.0,D,0.0,162.0,171.0,151.0,996.0,,,,,
