FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,335,DEN,"Denver, CO",IAD,"Washington, DC",1755,1832.0,37.0,17.0,1849.0,2339.0,8.0,2317,2347.0,30.0,1.0,C,0.0,202.0,195.0,170.0,1452.0,13.0,0.0,0.0,0.0,17.0
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,334,BWI,"Baltimore, MD",DEN,"Denver, CO",1645,1642.0,-3.0,8.0,1650.0,1817.0,8.0,1833,1825.0,-8.0,0.0,,0.0,228.0,223.0,207.0,1491.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,333,FLL,"Fort Lauderdale, FL",IAH,"Houston, TX",900,858.0,-2.0,19.0,917.0,1031.0,7.0,1037,1038.0,1.0,0.0,,0.0,157.0,160.0,134.0,966.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,331,BOI,"Boise, ID",ORD,"Chicago, IL",1235,1235.0,0.0,10.0,1245.0,1641.0,16.0,1654,1657.0,3.0,0.0,,0.0,199.0,202.0,176.0,1437.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,330,ORD,"Chicago, IL",RIC,"Richmond, VA",1815,1824.0,9.0,13.0,1837.0,2104.0,3.0,2119,2107.0,-12.0,0.0,,0.0,124.0,103.0,87.0,642.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,327,DEN,"Denver, CO",MCO,"Orlando, FL",1545,1546.0,1.0,16.0,1602.0,2113.0,5.0,2128,2118.0,-10.0,1.0,D,0.0,223.0,212.0,191.0,1546.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,326,IAD,"Washington, DC",SEA,"Seattle, WA",1745,1810.0,25.0,22.0,1832.0,2025.0,10.0,2023,2035.0,12.0,0.0,,0.0,338.0,325.0,293.0,2306.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,325,DEN,"Denver, CO",BIL,"Billings, MT",1945,1948.0,3.0,21.0,2009.0,2111.0,4.0,2117,2115.0,-2.0,0.0,,0.0,92.0,87.0,62.0,455.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,324,DEN,"Denver, CO",FSD,"Sioux Falls, SD",2050,2117.0,27.0,17.0,2134.0,2341.0,3.0,2318,2344.0,26.0,0.0,,0.0,88.0,87.0,67.0,483.0,26.0,0.0,0.0,0.0,0.0
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,323,DEN,"Denver, CO",CMH,"Columbus, OH",945,952.0,7.0,32.0,1024.0,1440.0,6.0,1432,1446.0,14.0,0.0,,0.0,167.0,174.0,136.0,1154.0,,,,,
